PRODUCTO,Avatar,Genero,NIVEL DE ADOPCION DEL PRODUCTO,ESCENA GENERAL,ESCENA ESPECÍFICA,B-ROLLS A USAR (DEMO) (CLIPS GENÉRICOS),CTA,PROPUESTA DE VALOR 1,PROPUESTA DE VALOR 2,PROPUESTA DE VALOR 3,GEO
Smart 2,"Sofi, Dueña de Cafetería. Local concurrido en zona comercial. Busca agilidad para cobrar cafés y desayunos en hora pico. Usa delantal gris y hay tazas amarillas sobre la máquina.",Femenino,"todavía no concentran toda su operación ni utilizan todas las soluciones financieras de Mercado Pago para su negocio, que pueden no tener aún su Point Smart o que no lo usan como su terminal principal.",PLANTEAR COMO TENGO UN PROBLEMA Y LA POINT SMART ESTA ES LA SOLUCIÓN,,VIDEO REAL DE MOMENTO DE COBRO, Activá el lado fácil de tu negocio. Conseguí tu Point Smart.,Dinero al instante,Sin costos fijos de mantenimiento y envío gratis,"Credits: Fundamental mencionar la facilidad con la que se puede gestionar pero también que debe empezar a cobrar. Ej: "" empezá a cobrar/adquiri tu pos y obtené un crédito para potenciar tu negocio. Probaría la variante de ""en pocos clicks"".",MLA
Smart 2,"Martín, Dueño de Hamburguesería. Local con personal a cargo. Valora poder organizar los turnos y las cajas de cada empleado. Usa gorra negra con detalle amarillo sutil.",Masculino,YA USA LA POINT SMART ,ME DIFERENCIO DE OTROS NEGOCIOS PORQUE PUEDO RECIBIR TODOS LOS MEDIOS DE PAGO Y SE AMPLIA EL PÚBLICO DE MI NEGOCIO,,VIDEO REAL DE MOMENTO DE COBRO, Todo para cobrar en un solo lugar. Conseguí tu Point Smart.,Acepta todas las tarjetas y medios de pago,Sin costos fijos de mantenimiento y envío gratis,Rendimientos: rendimientos dentro de la propia cuenta desde la que cobra. Ej:  Empezá a cobrar/adquri tu pos y generá rendimientos en simples pasos o rápido o más fácil.  Empezá a cobrar/adquri tu pos y generá rendimientos con el dinero de tu negocio.,MLA
Smart 2,"Clara, Dueña de Showroom de Indumentaria. Vende ropa de temporada. Ofrece cuotas para que las clientas se lleven el conjunto completo. Probador con cortina neutra y alfombra amarilla.",Femenino,PRIMERA VEZ,TENIA INSEGURIDADES RESPECTO A COBRAR EN MI NEGOCIO PERO LA POINT SMART ES MUY FACIL DE USAR,,VIDEO DE SCROLLEO DEL POINT,Cobrá fácil y al instante. Conseguí tu Point Smart.,Acepta todas las tarjetas y medios de pago,Sin costos fijos de mantenimiento y envío gratis,Dinero al instante (point),MLA
Smart 2,"Diego, Dueño de Ferretería. Negocio amplio con depósito. Necesita la batería de larga duración para cobrar en el mostrador o en la entrega de materiales. Camisa de trabajo beige, cajas de herramientas amarillas.",Masculino,USABA OTRO PRODUCTO Y SE CAMBIÓ,A LA HORA DE PAGAR EL CLIENTE SABE QUE PUEDE CONFIAR EN MI NEGOCIO PORQUE MERCADOPAGO ES LA MAS CONFIABLE DEL MERCADO,,VIDEO REAL DE MOMENTO DE COBRO,Hacé crecer tu negocio hoy. Conseguí tu Point Smart.,Acepta todas las tarjetas y medios de pago,Dinero al instante,Gestión del negocio: reporteria y colaboradores.,MLA
Smart 2,"Valeria, Dueña de Centro de Estética. Ofrece servicios de cuidado personal. Prioriza una terminal que se vea profesional y limpia en el mostrador de recepción. Ambo blanco, detalle de flores amarillas en la sala.",Femenino,YA USA LA POINT SMART ,ESTOY ABRIENDO MI NEGOCIO Y ELIJO COBRAR CON MERCADOPAGO PORQUE ME DA MAS SEGURIDAD QUE OTRAS,,VIDEO REAL DE MOMENTO DE COBRO, Activá el lado fácil de tu negocio. Conseguí tu Point Smart.,Dinero al instante,Acepta todas las tarjetas y medios de pago,Apoyo 24/7: soporte las 24hs para inconvenientes.,MLA
Smart 2,"Guillermo, Dueño de Tienda de Deportes. Vende suplementos y accesorios. Usa los reportes para saber qué días tiene mejor venta. Ropa deportiva cómoda, pesas amarillas al fondo.",Masculino,COMENZÓ EL POINT HACE POCO ,MI NEGOCIO EMPEZÓ A CRECER PORQUE EMPECÉ A OFRECER TODOS LOS MEDIOS DE PAGO CON LA POINT SMART ,,VIDEO REAL DE MOMENTO DE COBRO/ VIDEO QUE MUESTRE MUCHAS VENTAS,Hacé crecer tu negocio hoy. Conseguí tu Point Smart.,Dinero al instante,Acepta todas las tarjetas y medios de pago,Herramientas y reportes: lleve al frente la herrramienta de reportes de gestión que es altamente valorada. Ej: Empezá a cobrar/adquri tu pos y llevá los reportes de tus ventas,MLA
Smart 2,"Lucía, Dueña de Librería. Local con mucho movimiento escolar. Necesita que el sistema no falle y tenga internet siempre (4G incluido). Usa suéter color mostaza, mostrador con útiles escolares.",Femenino,USUARIO NUEVO ,DESDE QUE TENGO MI POINT SMART PUEDO LLEVAR EL REPORTE DE MIS VENTAS Y PLANIFICAR ESTRATÉGICAMENTE MI NEGOCIO,,Ideal: video que muestre la sección de reportes, Todo para cobrar en un solo lugar. Conseguí tu Point Smart.,Herramientas y reportes: lleve al frente la herrramienta de reportes de gestión que es altamente valorada. Ej: Empezá a cobrar/adquri tu pos y llevá los reportes de tus ventas,Dinero al instante,Apoyo 24/7: soporte las 24hs para inconvenientes.,MLA
Smart 2,"Esteban, Dueño de Parrilla/Bodegón. Restaurante de barrio. Valora tener el dinero disponible al instante para pagar a sus proveedores de carne. Camisa blanca, servilletas de tela amarilla.",Masculino,YA USA LA POINT SMART  HACE UN TIEMPO,YO SIGO ELIGIENDO MERCADO PAGO PORQUE HACE QUE MÁS PERSONAS PUEDAN COMPRAR EN MI NEGOCIO CADA DÍA ,,VIDEO DEL MOMENTO DEL COBRO DEL POINT SMART, Activá el lado fácil de tu negocio. Conseguí tu Point Smart.,Acepta todas las tarjetas y medios de pago,Sin costos fijos de mantenimiento y envío gratis,Dinero al instante,MLA
Smart 2,"Mariana, Dueña de Pet Shop. Vende alimento y accesorios. A veces cobra en la vereda o en el auto del cliente. El local tiene correas y juguetes amarillos exhibidos.",Femenino,LA USA HACE UN TIEMPO,PUDE MEJORAR MI CATÁLOGO DE PRODUCTOS DE ESPECIALIDAD GRACIAS AL CRÉDITO QUE ME OFRECIÓ MERCADO PAGO Y ATRAER A MÁS CLIENTES,-,VIDEO DEL POINT SMART ENCENDIÉNDOSE,Hacé crecer tu negocio hoy. Conseguí tu Point Smart.,"Credits: Fundamental mencionar la facilidad con la que se puede gestionar pero también que debe empezar a cobrar. Ej: "" empezá a cobrar/adquiri tu pos y obtené un crédito para potenciar tu negocio. Probaría la variante de ""en pocos clicks"".",Dinero al instante,Colaboradores: la posibilidad de sumar colaboradores para cobrar en tu negocio y poder hacerlo más fácil y rápido.,MLA
Smart 2,"Javier, Dueño de Local de Tecnología. Vende accesorios de celular y audio. Sus clientes usan QR y billeteras virtuales, necesita aceptar todo. Viste remera negra, estantes con cajas de detalles amarillos.",Masculino,"Que todavía no concentran toda su operación ni utilizan todas las soluciones financieras de Mercado Pago para su negocio, que pueden no tener aún su Point Smart o que no lo usan como su terminal principal.","El tiempo de mis clientes vale oro. Con esta rapidez, el flujo del local nunca se detiene y todos se van con una sonrisa",-,SCROLL DENTRO DEL PONT SMART Y PAGO ACEPTADO,Cobrá fácil y al instante. Conseguí tu Point Smart.,Dinero al instante,Sin costos fijos de mantenimiento y envío gratis,"Credits: Fundamental mencionar la facilidad con la que se puede gestionar pero también que debe empezar a cobrar. Ej: "" empezá a cobrar/adquiri tu pos y obtené un crédito para potenciar tu negocio. Probaría la variante de ""en pocos clicks"".",MLA
Smart 2,"Paula, Dueña de Dietética. Vende productos naturales. Busca mantener el orden de sus ingresos diarios en una sola pantalla. Delantal de tela cruda, frascos con tapas amarillas.",Femenino,COMENZÓ EL POINT HACE POCO ,"PLANTEAR COMO TENGO UN PROBLEMA, ESTA ES LA SOLUCIÓN",-,VIDEO REAL DE MOMENTO DE COBRO/ VIDEO QUE MUESTRE MUCHAS VENTAS,©,Dinero al instante,Sin costos fijos de mantenimiento y envío gratis,"Credits: Fundamental mencionar la facilidad con la que se puede gestionar pero también que debe empezar a cobrar. Ej: "" empezá a cobrar/adquiri tu pos y obtené un crédito para potenciar tu negocio. Probaría la variante de ""en pocos clicks"".",MLA
Smart 2,"Roberto, Dueño de Vinoteca. Vende vinos y bebidas. Necesita entregar ticket fiscal a sus clientes y mantener una imagen prolija. Local con madera, bolsas de regalo con cinta amarilla.",Masculino,COMENZÓ EL POINT HACE POCO ,"Decidí dejar atrás las complicaciones. Ahora mi negocio se ve y funciona como siempre soñé, con tecnología que me representa. Mis clientes pagan rapido y facil",,SCROLL DENTRO DEL PONT SMART Y PAGO ACEPTADO, Todo para cobrar en un solo lugar. Conseguí tu Point Smart.,"Credits: Fundamental mencionar la facilidad con la que se puede gestionar pero también que debe empezar a cobrar. Ej: "" empezá a cobrar/adquiri tu pos y obtené un crédito para potenciar tu negocio. Probaría la variante de ""en pocos clicks"".",Rendimientos: rendimientos dentro de la propia cuenta desde la que cobra. Ej:  Empezá a cobrar/adquri tu pos y generá rendimientos en simples pasos o rápido o más fácil.  Empezá a cobrar/adquri tu pos y generá rendimientos con el dinero de tu negocio.,Herramientas y reportes: lleve al frente la herrramienta de reportes de gestión que es altamente valorada. Ej: Empezá a cobrar/adquri tu pos y llevá los reportes de tus ventas,MLA
Smart 2,"Flor, Dueña de Vivero. Espacio grande con plantas. Cobra caminando por el local sin depender de cables. Viste jardinero de jean, guantes de trabajo con palma amarilla.",Femenino,YA USA LA  POINT SMART ,"Acá no perdemos ninguna oportunidad. Si el cliente quiere probar todo, yo tengo todas las formas de cobrarle en la mano",,VIDEO REAL DE MOMENTO DE COBRO, Activá el lado fácil de tu negocio. Conseguí tu Point Smart.,Acepta todas las tarjetas y medios de pago,Sin costos fijos de mantenimiento y envío gratis,Apoyo 24/7: soporte las 24hs para inconvenientes.,MLA
Smart 2,"Nico, Dueño de Barbería. Trabaja con otros barberos. Usa la función de colaboradores para separar las comisiones de cada uno. Capa de corte negra con borde amarillo.",Masculino,YA USA LA POINT SMART ,"Pensé que pasarme a lo digital iba a ser difícil, pero es tan simple que me permite enfocarme en lo que de verdad importa: mi negocio",,SCROLL DENTRO DEL PONT SMART Y PAGO ACEPTADO,Cobrá fácil y al instante. Conseguí tu Point Smart.,Sin costos fijos de mantenimiento y envío gratis,Dinero al instante,Rendimientos: rendimientos dentro de la propia cuenta desde la que cobra. Ej:  Empezá a cobrar/adquri tu pos y generá rendimientos en simples pasos o rápido o más fácil.  Empezá a cobrar/adquri tu pos y generá rendimientos con el dinero de tu negocio.,MLA
Smart 2,"Cecilia, Dueña de Juguetería. Local familiar. El cobro debe ser rápido para que los padres no esperen. Estanterías blancas, cajas de juguetes amarillas destacadas.",Femenino,COMENZÓ EL POINT HACE POCO ,,,, Activá el lado fácil de tu negocio. Conseguí tu Point Smart.,Dinero al instante,Sin costos fijos de mantenimiento y envío gratis,"Credits: Fundamental mencionar la facilidad con la que se puede gestionar pero también que debe empezar a cobrar. Ej: "" empezá a cobrar/adquiri tu pos y obtené un crédito para potenciar tu negocio. Probaría la variante de ""en pocos clicks"".",
,"Gustavo, Dueño de Casa de Música. Vende instrumentos. La financiación en cuotas es clave para vender guitarras o teclados. Sostiene una púa amarilla, instrumentos al fondo.",Masculino,USUARIO NUEVO ,,,, Todo para cobrar en un solo lugar. Conseguí tu Point Smart.,Acepta todas las tarjetas y medios de pago,Sin costos fijos de mantenimiento y envío gratis,,MLA
,"Romina, Odontóloga. Consultorio particular. Cobra las consultas y tratamientos con tarjeta de forma segura. Ambo azul oscuro, lámpara o insumo amarillo en la mesa.",Femenino,YA USA LA POINT SMART  HACE UN TIEMPO,,,,Cobrá fácil y al instante. Conseguí tu Point Smart.,Acepta todas las tarjetas y medios de pago,Sin costos fijos de mantenimiento y envío gratis,,MLA
,"Alejandro, Dueño de Bar/Cervecería. Local nocturno activo. Necesita un equipo resistente para la barra. Remera negra del bar, canillas de cerveza con identificadores amarillos.",Masculino,LA USA HACE UN TIEMPO,,,,Hacé crecer tu negocio hoy. Conseguí tu Point Smart.,Acepta todas las tarjetas y medios de pago,Dinero al instante,,MLA
,"Beatriz, Dueña de Perfumería. Negocio de regalos y cosmética. Busca transmitir confianza y seriedad en el pago. Uniforme negro discreto, pañuelo amarillo al cuello.",Femenino,"Que todavía no concentran toda su operación ni utilizan todas las soluciones financieras de Mercado Pago para su negocio, que pueden no tener aún su Point Smart o que no lo usan como su terminal principal.",,,, Activá el lado fácil de tu negocio. Conseguí tu Point Smart.,Dinero al instante,Acepta todas las tarjetas y medios de pago,,MLA